,job,input,name,sessions,a_day,duration,days,time
0,Therapist,"I have therapy sessions with clients, and each session lasts for 1 hour; I want to schedule these sessions on Monday, Wednesday, and Friday afternoons.",Therapy Sessions,,False,1 hour,"['Monday', 'Wednesday', 'Friday']",afternoon
1,Teacher,"I have language tutoring sessions every weekday, and each session lasts for 45 minutes; I want to schedule them in the evenings.",Language Tutoring,,True,45 minutes,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",evening
2,Teacher,"I need to allocate time for research work, planning three sessions a week, and each session should be around 2 hours, preferably in the mornings on Tuesday, Thursday, and Saturday.""",Research Work,3.0,False,2 hours,"['Tuesday', 'Thursday', 'Saturday']",morning
3,Teacher,"I have grading sessions for assignments every Thursday afternoon, and I need to allocate 2 hours for this task.",Grading Assignments,,False,2 hours,['Thursday'],afternoon
4,Teacher,"I have professional development sessions every Wednesday morning, and I want to schedule them for 1.5 hours each.",Professional Development,,False,1.5 hours,['Wednesday'],morning
5,Teacher,"I need dedicated time for lesson planning, allocating two sessions per week, each lasting 2 hours, preferably on Tuesday and Thursday afternoons.""",Lesson Planning,2.0,False,2 hours,"['Tuesday', 'Thursday']",afternoon
6,Teacher,"I have extracurricular activities on alternate Fridays, and each activity lasts for 1 hour; I prefer scheduling them in the late afternoon.",Extracurricular Activities,,False,1 hour,['Alternate Fridays'],late afternoon
7,Teacher,"I organize weekly team collaboration meetings every Monday morning, lasting 1.5 hours, to discuss lesson plans, share insights, and address challenges.",Team Collaboration Meetings,,False,1.5 hours,['Monday'],morning
8,Teacher,"For professional growth, I schedule bi-weekly teacher training sessions, two sessions per week, each lasting 2 hours, on Wednesday and Thursday afternoons.",Teacher Training Sessions,2.0,False,2 hours,"['Wednesday', 'Thursday']",afternoon
9,Teacher,"I allocate time every Friday afternoon for curriculum review and updating, ensuring that the content aligns with educational standards and engages students effectively",Curriculum Review,,False,Flexible,['Friday'],afternoon
10,Teacher,"I reserve Friday evenings for parent communication, responding to emails, and providing feedback on student progress, allocating 2 hours for this task.",Parent Communication,,False,2 hours,['Friday'],evening
11,Teacher,"I conduct weekly student assessments every Wednesday morning, spending 2 hours per session",Student Assessments,,False,2 hours,['Wednesday'],morning
